"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.494718875E0;1.612311244E-2;6.134898663E-2;6.022632122E-2;8.746920991E-2
2.504728875E0;1.248555958E-2;4.025807977E-3;1.956185997E-2;2.355340089E-2
2.514768875E0;2.558010668E-2;-7.792584300E-3;-3.755666614E-2;4.610389787E-2
2.524778875E0;1.563282341E-2;4.035748243E-3;-4.545625448E-3;1.677304809E-2
2.534788875E0;3.639307022E-3;1.346438348E-2;-1.648622453E-2;2.159467012E-2
2.544828875E0;1.113017499E-3;2.783508539E-2;-9.508742094E-3;2.943547117E-2
2.554838875E0;-2.067780107E-2;2.528686881E-2;7.010226846E-3;3.340868857E-2
2.564848875E0;-2.508777112E-2;5.401599348E-2;-6.005675197E-2;8.458095097E-2
2.574888875E0;-2.101343125E-2;6.598173559E-2;-3.155274510E-2;7.609684256E-2
2.584898875E0;1.379211992E-2;8.049920261E-2;3.307009757E-2;8.811342432E-2
2.594907875E0;-2.969800830E-3;6.836973846E-2;2.100085974E-2;7.158405523E-2
2.604917875E0;-5.488781333E-3;6.118117154E-2;2.578329742E-2;6.661862275E-2
2.614958875E0;-2.272491127E-2;7.540101528E-2;5.421830714E-2;9.561045720E-2
2.624967875E0;-4.885348678E-3;5.414287806E-2;-1.476597369E-2;5.633251153E-2
2.634977875E0;2.505239546E-3;6.132852137E-2;-3.608667612E-2;7.120190975E-2
2.645017875E0;-4.586555958E-3;3.977509975E-2;-2.393323839E-2;4.664648921E-2
2.655027875E0;7.546708882E-3;4.696015835E-2;-3.523707569E-2;5.919341847E-2
2.665037875E0;5.216593444E-3;2.540790617E-2;-3.062537670E-2;4.013338064E-2
2.675077875E0;4.951714575E-3;4.696892917E-2;-2.001501918E-3;4.727161722E-2
2.685087875E0;-9.526576102E-3;3.006053567E-2;1.937241018E-2;3.700921146E-2
2.695097875E0;-1.168302923E-2;3.725202620E-2;1.921278119E-2;4.351249923E-2
2.705106875E0;-3.553265244E-2;5.387098253E-2;1.653826475E-2;6.661956431E-2
2.715147875E0;-1.289135635E-2;3.741165519E-2;-3.796655595E-2;5.483865775E-2
2.725156875E0;2.981787622E-3;4.699524164E-2;2.206914604E-2;5.200472095E-2
2.735166875E0;7.791122496E-3;6.616124511E-2;2.695683360E-2;7.186572773E-2
